ep,success,z_max,cube_init_x,cube_init_y,cube_init_z,ee_to_cube_min,ee_to_cube_at_close,first_close_step,gripper_closed_steps,z_at_first_close,cube_vel_max_after_close,z_at_grasp_max,ep_length
1,0,0.012686767615377903,0.22259211540222168,-0.19597649574279785,0.012000000104308128,0.24014277756214142,nan,-1,0,nan,nan,nan,500
2,0,0.04194582253694534,0.24724960327148438,-0.03760719299316406,0.012000000104308128,0.09987478703260422,nan,-1,0,nan,nan,nan,500
3,1,0.10342879593372345,0.26598310470581055,-0.1863248348236084,0.012000000104308128,0.09032606333494186,nan,-1,0,nan,nan,nan,500
4,0,0.06748103350400925,0.20276713371276855,-0.11727166175842285,0.012000000104308128,0.10824163258075714,nan,-1,0,nan,nan,nan,500
5,0,0.04297366365790367,0.1394411325454712,-0.0198972225189209,0.012000000104308128,0.08501426875591278,nan,-1,0,nan,nan,nan,500
6,0,0.07164866477251053,0.11017012596130371,-0.09349918365478516,0.012000000104308128,0.09187881648540497,nan,-1,0,nan,nan,nan,500
7,0,0.06957066059112549,0.15522706508636475,-0.1162879467010498,0.012000000104308128,0.10295884311199188,nan,-1,0,nan,nan,nan,500
8,0,0.0603095218539238,0.2970377206802368,-0.012331008911132812,0.012000000104308128,0.08665891736745834,nan,-1,0,nan,nan,nan,500
9,0,0.054597608745098114,0.12183845043182373,0.0439763069152832,0.012000000104308128,0.08779100328683853,nan,-1,0,nan,nan,nan,500
10,0,0.07771675288677216,0.15081262588500977,-0.13331258296966553,0.012000000104308128,0.10671582818031311,nan,-1,0,nan,nan,nan,500
11,0,0.07925764471292496,0.18218326568603516,-0.1410151720046997,0.012000000104308128,0.09840407222509384,nan,-1,0,nan,nan,nan,500
12,0,0.04888713359832764,0.1961669921875,-0.07511234283447266,0.012000000104308128,0.09278162568807602,nan,-1,0,nan,nan,nan,500
13,0,0.09844335168600082,0.1539325714111328,-0.18157076835632324,0.012000000104308128,0.09464017301797867,nan,-1,0,nan,nan,nan,500
14,0,0.047969311475753784,0.22329258918762207,-0.06834793090820312,0.012000000104308128,0.096347376704216,nan,-1,0,nan,nan,nan,500
15,0,0.06305846571922302,0.28116869926452637,-0.06834304332733154,0.012000000104308128,0.08853165805339813,nan,-1,0,nan,nan,nan,500
16,0,0.09285172820091248,0.25777649879455566,0.16650938987731934,0.012000000104308128,0.059239521622657776,nan,-1,0,nan,nan,nan,500
17,0,0.01262484211474657,0.15326905250549316,-0.16978788375854492,0.012000000104308128,0.2261904925107956,nan,-1,0,nan,nan,nan,500
18,0,0.012000035494565964,0.12362480163574219,-0.0969010591506958,0.012000000104308128,0.1491985023021698,nan,-1,0,nan,nan,nan,500
19,0,0.012000035494565964,0.17497706413269043,0.10888040065765381,0.012000000104308128,0.07302790135145187,nan,-1,0,nan,nan,nan,500
20,0,0.012000036425888538,0.12008047103881836,-0.05256009101867676,0.012000000104308128,0.10871855914592743,nan,-1,0,nan,nan,nan,500
21,0,0.012000038288533688,0.18953359127044678,0.08832526206970215,0.012000000104308128,0.0687503069639206,nan,-1,0,nan,nan,nan,500
22,0,0.012000036425888538,0.17283833026885986,-0.030564308166503906,0.012000000104308128,0.103955939412117,nan,-1,0,nan,nan,nan,500
23,0,0.012000037357211113,0.2951472997665405,0.01063382625579834,0.012000000104308128,0.12926334142684937,nan,-1,0,nan,nan,nan,500
24,0,0.019133862107992172,0.15684497356414795,0.08582353591918945,0.012000000104308128,0.05284961685538292,nan,-1,0,nan,nan,nan,500
25,0,0.012000035494565964,0.10306048393249512,-0.037621498107910156,0.012000000104308128,0.09162277728319168,nan,-1,0,nan,nan,nan,500
26,0,0.012000036425888538,0.29536163806915283,-0.1659764051437378,0.012000000104308128,0.23469793796539307,nan,-1,0,nan,nan,nan,500
27,0,0.012000036425888538,0.228052020072937,0.06049919128417969,0.012000000104308128,0.08583606779575348,nan,-1,0,nan,nan,nan,500
28,0,0.012000038288533688,0.1700359582901001,-0.18383574485778809,0.012000000104308128,0.24155740439891815,nan,-1,0,nan,nan,nan,500
29,0,0.012000037357211113,0.27138376235961914,0.1905527114868164,0.012000000104308128,0.1738792210817337,nan,-1,0,nan,nan,nan,500
30,0,0.012000035494565964,0.18785953521728516,0.1879512071609497,0.012000000104308128,0.1376139521598816,0.2517237961292267,0,2,0.012000000104308128,0.00022028348757885396,0.012000035494565964,500
31,0,0.012000035494565964,0.21926093101501465,0.08688652515411377,0.012000000104308128,0.08174820244312286,nan,-1,0,nan,nan,nan,500
32,0,0.01200003270059824,0.2354724407196045,-0.057801008224487305,0.012000000104308128,0.13217897713184357,nan,-1,0,nan,nan,nan,500
33,0,0.012518903240561485,0.24727940559387207,-0.1401996612548828,0.012000000104308128,0.20335806906223297,nan,-1,0,nan,nan,nan,500
34,0,0.09197478741407394,0.24120807647705078,0.03643190860748291,0.012000000104308128,0.1308857649564743,nan,-1,0,nan,nan,nan,500
35,0,0.07550515234470367,0.26769542694091797,0.011974692344665527,0.012000000104308128,0.06744111329317093,nan,-1,0,nan,nan,nan,500
36,0,0.07566571980714798,0.16275882720947266,-0.17993497848510742,0.012000000104308128,0.14117039740085602,nan,-1,0,nan,nan,nan,500
37,0,0.052379049360752106,0.11308050155639648,0.04902505874633789,0.012000000104308128,0.059679415076971054,nan,-1,0,nan,nan,nan,500
38,0,0.09403945505619049,0.1535865068435669,0.14403307437896729,0.012000000104308128,0.06209731101989746,nan,-1,0,nan,nan,nan,500
39,1,0.1257438361644745,0.11919105052947998,0.1881505250930786,0.012000000104308128,0.0709182620048523,nan,-1,0,nan,nan,nan,500
40,0,0.012000036425888538,0.1510467529296875,-0.1235055923461914,0.012000000104308128,0.18428491055965424,nan,-1,0,nan,nan,nan,500
41,0,0.054268598556518555,0.1712878942489624,-0.09165310859680176,0.012000000104308128,0.09429767727851868,nan,-1,0,nan,nan,nan,500
42,0,0.03166363388299942,0.25710761547088623,-0.16068267822265625,0.012000000104308128,0.22449636459350586,nan,-1,0,nan,nan,nan,500
43,0,0.06635435670614243,0.1212918758392334,0.09677565097808838,0.012000000104308128,0.12556014955043793,0.2184140682220459,0,500,0.012000000104308128,0.8828993439674377,0.06635435670614243,500
44,0,0.08847092092037201,0.21125459671020508,-0.022504568099975586,0.012000000104308128,0.1641480028629303,nan,-1,0,nan,nan,nan,500
45,1,0.18924368917942047,0.10089755058288574,-0.1822371482849121,0.012000000104308128,0.07228312641382217,nan,-1,0,nan,nan,nan,500
46,1,0.17309468984603882,0.10268807411193848,-0.16900134086608887,0.012000000104308128,0.04903461039066315,nan,-1,0,nan,nan,nan,500
47,1,0.13042451441287994,0.2711915969848633,-0.1660606861114502,0.012000000104308128,0.04207473248243332,nan,-1,0,nan,nan,nan,500
48,1,0.1142331138253212,0.16948390007019043,0.15547561645507812,0.012000000104308128,0.05444173142313957,nan,-1,0,nan,nan,nan,500
49,0,0.012541661038994789,0.107208251953125,-0.19166994094848633,0.012000000104308128,0.2248140573501587,nan,-1,0,nan,nan,nan,500
50,0,0.012000036425888538,0.27251148223876953,0.10095643997192383,0.012000000104308128,0.12235356867313385,nan,-1,0,nan,nan,nan,500
51,0,0.012000037357211113,0.10598897933959961,0.12496364116668701,0.012000000104308128,0.23998568952083588,0.23998568952083588,0,500,0.012000000104308128,0.0002202915638918057,0.012000037357211113,500
52,0,0.01200003270059824,0.1974480152130127,-0.17100930213928223,0.012000000104308128,0.22691237926483154,nan,-1,0,nan,nan,nan,500
53,0,0.012000034563243389,0.24875211715698242,-0.1331338882446289,0.012000000104308128,0.1926252245903015,nan,-1,0,nan,nan,nan,500
54,0,0.012000037357211113,0.15727150440216064,-0.08725440502166748,0.012000000104308128,0.15090630948543549,nan,-1,0,nan,nan,nan,500
55,0,0.012000036425888538,0.10964584350585938,0.19447124004364014,0.012000000104308128,0.13688157498836517,nan,-1,0,nan,nan,nan,500
56,1,0.10621859133243561,0.23848474025726318,0.06802964210510254,0.012000000104308128,0.11417638510465622,nan,-1,0,nan,nan,nan,500
57,0,0.012000038288533688,0.18603527545928955,0.06679272651672363,0.012000000104308128,0.06058843433856964,nan,-1,0,nan,nan,nan,500
58,0,0.012000033631920815,0.2979728579521179,0.13102316856384277,0.012000000104308128,0.15574069321155548,nan,-1,0,nan,nan,nan,500
59,0,0.012000036425888538,0.1407538652420044,0.1265571117401123,0.012000000104308128,0.07962670177221298,nan,-1,0,nan,nan,nan,500
60,0,0.012000036425888538,0.19108796119689941,-0.17247629165649414,0.012000000104308128,0.22875860333442688,nan,-1,0,nan,nan,nan,500
61,0,0.012000037357211113,0.16961312294006348,-0.1501297950744629,0.012000000104308128,0.20848935842514038,nan,-1,0,nan,nan,nan,500
62,0,0.012000035494565964,0.24314451217651367,-0.07079589366912842,0.012000000104308128,0.15763460099697113,nan,-1,0,nan,nan,nan,500
63,0,0.09542778134346008,0.2257981300354004,-0.16614198684692383,0.012000000104308128,0.08489910513162613,nan,-1,0,nan,nan,nan,500
64,0,0.01200003270059824,0.16179823875427246,-0.10013008117675781,0.012000000104308128,0.16325773298740387,nan,-1,0,nan,nan,nan,500
65,0,0.01231697853654623,0.19176697731018066,-0.03780364990234375,0.012000000104308128,0.11427919566631317,nan,-1,0,nan,nan,nan,500
66,1,0.14544212818145752,0.27995824813842773,-0.19766676425933838,0.012000000104308128,0.04399754852056503,nan,-1,0,nan,nan,nan,500
67,1,0.12477103620767593,0.17843413352966309,-0.11500251293182373,0.012000000104308128,0.038067080080509186,nan,-1,0,nan,nan,nan,500
68,0,0.04143062233924866,0.24039578437805176,-0.12755203247070312,0.012000000104308128,0.20508673787117004,nan,-1,0,nan,nan,nan,500
69,0,0.07524167001247406,0.16496407985687256,-0.028317928314208984,0.012000000104308128,0.14242634177207947,nan,-1,0,nan,nan,nan,500
70,1,0.12765052914619446,0.16975247859954834,0.16381561756134033,0.012000000104308128,0.07461876422166824,nan,-1,0,nan,nan,nan,500
71,1,0.1530822366476059,0.2955319881439209,-0.0643770694732666,0.012000000104308128,0.08332832902669907,nan,-1,0,nan,nan,nan,500
72,0,0.012000038288533688,0.26330864429473877,-0.14965319633483887,0.012000000104308128,0.20833514630794525,nan,-1,0,nan,nan,nan,500
73,0,0.09018822014331818,0.14736366271972656,-0.09832358360290527,0.012000000104308128,0.06882417947053909,0.20696645975112915,0,2,0.012000000104308128,1.079101324081421,0.09018822014331818,500
74,0,0.08839337527751923,0.14847862720489502,0.04741811752319336,0.012000000104308128,0.12661141157150269,nan,-1,0,nan,nan,nan,500
75,1,0.1315285712480545,0.1440204381942749,-0.13505125045776367,0.012000000104308128,0.04825138300657272,nan,-1,0,nan,nan,nan,500
76,0,0.09906833618879318,0.1760561466217041,0.015364885330200195,0.012000000104308128,0.13785187900066376,nan,-1,0,nan,nan,nan,500
77,0,0.04699239879846573,0.23787546157836914,-0.15840911865234375,0.012000000104308128,0.19787290692329407,nan,-1,0,nan,nan,nan,500
78,0,0.07114370912313461,0.23318195343017578,0.054286956787109375,0.012000000104308128,0.11209246516227722,0.17022158205509186,0,500,0.012000000104308128,0.9810000658035278,0.07114370912313461,500
79,0,0.012000038288533688,0.254058837890625,-0.08273816108703613,0.012000000104308128,0.1550500988960266,nan,-1,0,nan,nan,nan,500
80,0,0.049805715680122375,0.23863768577575684,-0.09365439414978027,0.012000000104308128,0.16406852006912231,nan,-1,0,nan,nan,nan,500
81,0,0.012295684777200222,0.14215493202209473,-0.06983470916748047,0.012000000104308128,0.1314006894826889,nan,-1,0,nan,nan,nan,500
82,0,0.012000038288533688,0.13151097297668457,-0.15317821502685547,0.012000000104308128,0.19972005486488342,nan,-1,0,nan,nan,nan,500
83,0,0.012000038288533688,0.17834234237670898,-0.06152081489562988,0.012000000104308128,0.13954345881938934,nan,-1,0,nan,nan,nan,500
84,0,0.012000038288533688,0.15810108184814453,-0.11696004867553711,0.012000000104308128,0.18217065930366516,nan,-1,0,nan,nan,nan,500
85,0,0.012000038288533688,0.19613254070281982,0.10006117820739746,0.012000000104308128,0.07597586512565613,nan,-1,0,nan,nan,nan,500
86,0,0.012000035494565964,0.23409414291381836,0.19349193572998047,0.012000000104308128,0.15814363956451416,nan,-1,0,nan,nan,nan,500
87,1,0.17740435898303986,0.10070240497589111,-0.015517234802246094,0.012000000104308128,0.05013291910290718,nan,-1,0,nan,nan,nan,500
88,1,0.15123499929904938,0.23903322219848633,0.15910124778747559,0.012000000104308128,0.07848276942968369,nan,-1,0,nan,nan,nan,500
89,0,0.012000038288533688,0.2606070041656494,0.11251449584960938,0.012000000104308128,0.12009195983409882,nan,-1,0,nan,nan,nan,500
90,0,0.012000035494565964,0.20635724067687988,-0.08769822120666504,0.012000000104308128,0.1556675136089325,nan,-1,0,nan,nan,nan,500
91,0,0.043956466019153595,0.14086270332336426,0.1004338264465332,0.012000000104308128,0.05219326913356781,0.21087908744812012,0,2,0.012000000104308128,0.5885995626449585,0.043956466019153595,500
92,0,0.01937667280435562,0.16835236549377441,0.0813744068145752,0.012000000104308128,0.05404461547732353,nan,-1,0,nan,nan,nan,500
93,0,0.012000037357211113,0.2688760757446289,-0.10068535804748535,0.012000000104308128,0.17262250185012817,nan,-1,0,nan,nan,nan,500
94,0,0.012000038288533688,0.1334669589996338,0.1302638053894043,0.012000000104308128,0.08235768228769302,nan,-1,0,nan,nan,nan,500
95,0,0.08960039913654327,0.17993521690368652,0.06993997097015381,0.012000000104308128,0.09095900505781174,nan,-1,0,nan,nan,nan,500
96,0,0.012000036425888538,0.22904086112976074,-0.15497875213623047,0.012000000104308128,0.21307499706745148,nan,-1,0,nan,nan,nan,500
97,0,0.012519127689301968,0.2969398498535156,-0.019962072372436523,0.012000000104308128,0.14266906678676605,nan,-1,0,nan,nan,nan,500
